product_code	product_name	price	cost
2000000000008	メルカリ	100	0
2000000000015	現金	100	0
2000000000022	配達料	100	0
2000000000039	振込	100	0
2000000000046	イエローマンゴー	100	0
2000000000053	グリーンマンゴー	100	0
2000000000060	代引	100	0
2000000000077	ガパオの苗	100	0
2000000000084	メンラックの苗	100	0
2000000000091	ホーラパーの苗	100	0
2000000000107	サラネー	100	0
2000000000114	パクチー	100	0
2000000000121	パクチーラオ	100	0
2000000000138	ホーラパー	100	0
2000000000145	メンラック	100	0
2000000000152	ガパオ	100	0
2000000000169	ヤングコーン	100	0
2000000000176	空芯菜	100	0
2000000000183	ツルムラサキ	100	0
2000000000190	テンクアルークパソム	100	0
2000000000206	マクアポ	100	0
2000000000213	ブアングー	100	0
2000000000220	青パパイヤ	100	0
2000000000237	ササゲ	100	0
2000000000244	シカクマメ	100	0
2000000000251	プリッキーヌ	100	0
2000000000268	プリックノンキアオ	100	0
2000000000275	ヤーコン	100	0
2000000000282	ズッキーニ	100	0
2000000000299	トウモロコシ	100	0
2000000000305	落花生	100	0
2000000000312	バナナ	100	0
2000000000329	ホムデン花茎	100	0
2000000000336	ドラゴンフルーツ	100	0
2000000000343	竹の子	100	0
2000000000350	イベント	100	0
2000000000367	アンデスの乙女	100	0
2000000000374	おおもの	100	0
2000000000381	モチトウモロコシ	100	0
2000000000398	クロモチトウモロコシ	100	0
2000000000404	高菜	100	0
2000000000411	ケール	100	0
2000000000428	ライチ	100	0
2000000000435	ヤングカボチャ	100	0
2000000000442	キュウリ	100	0
2000000000459	タイキュウリ	100	0
2000000000466	ウリのツル	100	0
2000000000473	ヘビウリ	100	0
2000000000480	キャッサバ	100	0
2000000000497	パープルスイートロード	100	0
2000000000503	フクムラサキ	100	0
2000000000510	アテモヤ	100	0
2000000000527	玉ドリアン	100	0
2000000000534	ドリアンパック	100	0
2000000000541	JA	100	0
2000000000558	ランブータン	100	0
2000000000565	Hanamatsu	100	0
2000000000572	売掛	100	0
2000000000589	送料	100	0
2000000000596	紅まさり	100	0
2000000000602	紅あずま	100	0
2000000000619	紅はるか	100	0
2000000000626	カリフラワー	100	0
2000000000633	ミニトマト	100	0
2000000000640	044パクチー	100	0
2000000000657	089まくわうり	100	0
2000000000664	101きゅうり	100	0
2000000000671	108きゅうり（ミニ）	100	0
2000000000688	116ミニトマト	100	0
2000000000695	133なす（丸なす）	100	0
2000000000701	135南瓜	100	0
2000000000718	147瓜	100	0
2000000000725	152ゴーヤ	100	0
2000000000732	154へちま	100	0
2000000000749	155冬瓜	100	0
2000000000756	158ほうれん草	100	0
2000000000763	170白菜（ミニ）	100	0
2000000000770	172キャベツ（紫）	100	0
2000000000787	200モロヘイヤ	100	0
2000000000794	201カリフラワー	100	0
2000000000800	212小松菜	100	0
2000000000817	227からし菜	100	0
2000000000824	289さつま芋	100	0
2000000000831	294さつま芋（紫）	100	0
2000000000848	311じゃが芋（赤）	100	0
2000000000855	369チンゲン菜	100	0
2000000000862	371つるむらさき	100	0
2000000000879	375ハーブ	100	0
2000000000886	381スイカ（大玉）	100	0
2000000000893	441柿	100	0
2000000000909	969バジル	100	0
2000000000916	987エンサイ	100	0
2000000000923	パパイヤ	100	0
2000000000930	バイマックル	100	0
2000000000947	米	100	0
2000000000954	もち米	100	0
2000000000961	デザート	100	0
2000000000978	だいこん	100	0
2000000000985	かぶ	100	0
2000000000992	菜心	100	0
2000000001005	サニーレタス	100	0
2000000001012	ヤマト運輸	100	0
2000000001029	ミニハクサイ	100	0
2000000001036	ブロッコリー	100	0
2000000001043	Hanamatsu	100	0
2000000001050	調味料	100	0
2000000001067	スイカ（黄）	100	0
